,PPG,color,color_unit,generic,grain_index,maltster,name
727,35,6,°L,False,744,Any,Vienna (UK)
728,34,120,°L,False,745,Any,CaraMunich II (DE)
729,30,3,°L,False,746,Any,EBS Pale Malt
730,34,32,°L,False,747,Any,Munich Dark (CA)
731,34,46,°L,False,748,Any,CaraMunich II (DE)
732,37,1,°L,True,749,Any,Pilsner (BE)
733,34,40,°L,False,750,Any,"Agave Syrup, Blue"
734,37,3,°L,False,751,Any,Weyerman Beechwood Smoked Malt
735,34,8,°L,False,752,Any,German Munich Light
736,32,2,°L,False,753,Any,Crisp Dextrin Malt
737,37,15,°L,False,754,Any,Munich Dark (DE)
738,37,3,°L,False,755,Any,Smoked Malt (DE)
739,34,75,°L,False,756,Any,CaraBohemian
740,34,3,°L,False,757,Any,German Light Crystal
741,25,60,°L,False,758,Any,"Toasted, Malted Wheat"
742,34,118,°L,False,759,Any,Special B - 118L
743,34,80,°L,False,760,Any,Caramel Rye
744,34,630,°L,False,761,Any,Chocolate Crisp
745,36,135,°L,False,762,Any,Bairds Extra Dark Crystal Malt
746,36,19,°L,False,763,Any,Castle Abbey (Amber 45)
747,36,2,°L,False,764,Any,Castle Wheat
748,37,1,°L,False,765,Any,2-Row Brewers Malt
749,34,30,°L,False,766,Any,Caramel/Crystal 30L (US)
750,38,2,°L,False,767,Briess,"Wheat Malt, Red"
751,37,1,°L,False,768,Weyermann®,Extra Pale Premium Pilsner Malt
752,39,2,°L,False,769,Any,Oak Smoked Wheat Malt
753,5,188,°L,False,770,Any,Chocolate Rye Malt
754,32,500,°L,True,771,Briess,Black Barley (US)
755,42,2,°L,False,772,Any,Honey
756,28,500,°L,False,773,Any,Black Malt (US)
757,34,250,°L,False,774,Any,Chocolate(Fawcet)
758,34,47,°L,False,775,Any,Cara 45
759,34,77,°L,False,776,Any,UK Crystal
760,32,245,°L,False,777,Any,Chocolate Rye
761,34,90,°L,False,778,Any,Crystal Rye
762,37,1,°L,True,215,Thomas Fawcett & Sons,Wheat (UK)
763,38,3,°L,False,779,Any,"Pale Malt, Maris Otter"
764,38,3,°L,True,780,Any,Maris Otter Pale (UK)
765,34,30,°L,True,781,Any,Caramel/Crystal 30L (US)
766,30,340,°L,True,782,Any,Chocolate (BE)
767,28,500,°L,True,783,Any,Black Malt (UK)
768,33,120,°L,False,784,Any,Extra Dark Crystal 120L (UK)
769,46,1,°L,False,785,Any,Invert Sugar
770,34,425,°L,True,786,Any,Chocolate (UK)
771,36,2,°L,False,787,Any,Flaked Rye
772,34,60,°L,False,788,Any,Crystal 60L (UK)
773,32,535,°L,False,490,Any,Carafa III (DE)
774,33,300,°L,True,789,Simpson's,Roasted Barley (US)
775,32,500,°L,True,790,Simpson's,Black Malt (US)
776,34,350,°L,True,791,Simpson's,Chocolate (US)
777,37,1,°L,False,216,Gambrinus,Pilsner Malt
778,38,15,°L,False,793,Any,Best Malz Caramel Malt Light
779,29,550,°L,True,794,Any,Roasted Barley (UK)
780,35,23,°L,True,795,Any,Biscuit (BE)
